ds	library	aggregation	SPOT	counts(no-mitochondria-mapped)	cell	details/treatments
DS27192	LN31650	AG3844	0.1919000000	236606174(213317700)	786_O	donor:NA LN31650 AG3844
DS37199	LN30990	AG3864	0.3775000000	542019778(357339551)	786_O	donor:NA LN30990 AG3864
DS24471A	LN26820A	AG3885	0.2882000000	388801535(223998786)	ACHN	donor:NA LN26820A AG3885
DS24547A	LN20963A	AG3871	0.3102000000	371337217(259059806)	ACHN	donor:NA LN20963A AG3871
DS25820	LN21646	AG3851	0.1777000000	356936254(347285804)	glomeruli	donor:HIM12 LN21646 AG3851
DS35973	LN30328	AG6995	null	65160673(58958713)	glomeruli	donor:HIM18 LN30328 AG6995
DS35974	LN30327	AG6996	null	44681917(40287788)	glomeruli	donor:HIM18 LN30327 AG6996
DS39386	LN32272	AG3852	0.3262000000	369260489(302763195)	glomeruli	donor:HIM22 LN32272 AG3852
DS40506	LN33575	AG6999	null	305254777(243439529)	glomeruli	donor:HIM23 LN33575 AG6999
DS40507	LN33574	AG7000	0.4908000000	343950554(274638131)	glomeruli	donor:HIM23 LN33574 AG7000
DS41157	LN33957	AG7003	null	264942493(214751145)	glomeruli	donor:HIM26 LN33957 AG7003
DS56256A	LN42591A	AG7006	null	47918425(39690828)	HK_2	donor:NA LN42591A AG7006
DS56257A	LN42592A	AG7007	null	63829725(44420126)	HK_2	donor:NA LN42592A AG7007
DS26689	LN31651	AG3898	0.3249000000	210708990(201542837)	kidney_tubular	donor:HIM13 LN31651 AG3898
DS27824	LN29654	AG3899	0.3797000000	218274150(210480190)	kidney_tubular	donor:HIM13 LN29654 AG3899
DS37969	LN31356	AG6997	null	56836857(53184419)	kidney_tubular	donor:HIM15 LN31356 AG6997
DS37971	LN31354	AG3845	0.4544000000	383214630(348608650)	kidney_tubular	donor:HIM15 LN31354 AG3845
DS41160	LN33954	AG7004	null	256428615(220699022)	kidney_tubular	donor:HIM23 LN33954 AG7004
DS41396	LN34037	AG7005	null	43997207(34181119)	kidney_tubular	donor:HIM23 LN34037 AG7005
DS26685	LN26974	AG6994	null	259845837(245808216)	podocytes	donor:NA LN26974 AG6994 33°C
DS26686B	LN26973B	AG6992	null	55394195(51102280)	podocytes	donor:NA LN26973B AG6992 37°C
DS26692B	LN26972B	AG6993	null	40348606(39201576)	renal_cell_carcinoma	donor:HIM13 LN26972B AG6993
DS26693A	LN26937A	AG3819	0.3105000000	303654025(293758469)	renal_cell_carcinoma	donor:HIM13 LN26937A AG3819
DS37973	LN31352	AG3863	0.4979000000	344609885(258952155)	renal_cell_carcinoma	donor:HIM15 LN31352 AG3863
DS37974	LN31351	AG6998	null	74294288(54981475)	renal_cell_carcinoma	donor:HIM15 LN31351 AG6998
DS40508	LN33573	AG7001	null	316792354(200446140)	renal_cell_carcinoma	donor:HIM23 LN33573 AG7001
DS40509	LN33572	AG7002	null	71605769(54873009)	renal_cell_carcinoma	donor:HIM23 LN33572 AG7002
DS31431	LN28411	AG9810	0.2896000000	53832722(46603115)	vascular_endothelium	donor:NA LN28411 AG9810
DS31432	LN28410	AG9809	0.2406000000	94863373(89200015)	vascular_endothelium	donor:NA LN28410 AG9809
